iter	Logloss
0	0.6723940604
1	0.6535687256
2	0.6366715611
3	0.6213467494
4	0.6070685163
5	0.5940692313
6	0.5824732579
7	0.5716782052
8	0.5617327183
9	0.5525305873
10	0.544217259
11	0.536590707
12	0.5296032279
13	0.5229443359
14	0.5169143066
15	0.5114440395
16	0.5064895717
17	0.5018479789
18	0.4974415545
19	0.4932840315
20	0.4895387922
21	0.4862364328
22	0.4829394008
23	0.4800123378
24	0.4773731864
25	0.4748812256
26	0.4726264561
27	0.4704453387
28	0.468517892
29	0.4667025408
30	0.4650547573
31	0.4635584455
32	0.462048863
33	0.4607423793
34	0.4594614868
35	0.4582601842
